Date,Confirmed
2020-01-22,555
2020-01-23,654
2020-01-24,941
2020-01-25,1434
2020-01-26,2118
2020-01-27,2927
2020-01-28,5578
2020-01-29,6166
2020-01-30,8234
2020-01-31,9927
2020-02-01,12038
2020-02-02,16787
2020-02-03,19887
2020-02-04,23898
2020-02-05,27643
2020-02-06,30802
2020-02-07,34334
2020-02-08,37068
2020-02-09,40095
2020-02-10,42633
2020-02-11,44675
2020-02-12,46561
2020-02-13,60206
2020-02-14,66690
2020-02-15,68765
2020-02-16,70879
2020-02-17,72815
2020-02-18,74609
2020-02-19,75030
2020-02-20,75577
2020-02-21,76206
2020-02-22,77967
2020-02-23,78290
2020-02-24,78854
2020-02-25,79707
2020-02-26,80670
2020-02-27,82034
2020-02-28,83411
2020-02-29,85306
2020-03-01,87690
2020-03-02,89664
2020-03-03,92241
2020-03-04,94540
2020-03-05,97331
2020-03-06,101274
2020-03-07,105312
2020-03-08,109266
2020-03-09,113166
2020-03-10,118190
2020-03-11,125853
2020-03-12,131603
2020-03-13,146008
2020-03-14,157114
2020-03-15,168260
2020-03-16,182919
2020-03-17,198757
2020-03-18,218343
2020-03-19,246261
2020-03-20,275869
2020-03-21,308175
2020-03-22,341585
2020-03-23,383750
2020-03-24,424889
2020-03-25,475706
2020-03-26,538666
2020-03-27,603066
2020-03-28,670723
2020-03-29,730300
2020-03-30,794939
2020-03-31,871355
2020-04-01,947569
2020-04-02,1028968
2020-04-03,1112123
2020-04-04,1192586
2020-04-05,1264304
2020-04-06,1336976
2020-04-07,1413849
2020-04-08,1497624
2020-04-09,1584249
2020-04-10,1671907
2020-04-11,1748872
2020-04-12,1845653
2020-04-13,1915247
2020-04-14,1985174
2020-04-15,2066003
2020-04-16,2162715
2020-04-17,2250439
2020-04-18,2324396
2020-04-19,2404919
2020-04-20,2478258
2020-04-21,2553508
2020-04-22,2630314
2020-04-23,2719327
2020-04-24,2806267
2020-04-25,2891199
2020-04-26,2964146
2020-04-27,3032850
2020-04-28,3108149
2020-04-29,3185195
2020-04-30,3268876
2020-05-01,3355922
2020-05-02,3437608
2020-05-03,3515244
2020-05-04,3591321
2020-05-05,3671310
2020-05-06,3761332
2020-05-07,3850418
2020-05-08,3941935
2020-05-09,4027781
2020-05-10,4104027
2020-05-11,4180268
2020-05-12,4263867
2020-05-13,4348619
2020-05-14,4445724
2020-05-15,4542073
2020-05-16,4637485
2020-05-17,4715994
2020-05-18,4804278
2020-05-19,4900702
2020-05-20,5003730
2020-05-21,5110064
2020-05-22,5216964
2020-05-23,5322253
2020-05-24,5417579
2020-05-25,5504542
2020-05-26,5597064
2020-05-27,5699664
2020-05-28,5818978
2020-05-29,5940145
2020-05-30,6077978
2020-05-31,6185530
2020-06-01,6280725
2020-06-02,6401536
2020-06-03,6520924
2020-06-04,6647861
2020-06-05,6778724
2020-06-06,6914666
2020-06-07,7026925
2020-06-08,7129150
2020-06-09,7253492
2020-06-10,7387517
2020-06-11,7525631
2020-06-12,7654725
2020-06-13,7790735
2020-06-14,7924156
2020-06-15,8043794
2020-06-16,8185197
2020-06-17,8327050
2020-06-18,8466978
2020-06-19,8647784
2020-06-20,8805336
2020-06-21,8933875
2020-06-22,9071733
2020-06-23,9237071
2020-06-24,9408254
2020-06-25,9586141
2020-06-26,9777487
2020-06-27,9955597
2020-06-28,10117227
2020-06-29,10275799
2020-06-30,10449697
2020-07-01,10667386
2020-07-02,10875091
2020-07-03,11078585
2020-07-04,11272152
2020-07-05,11454847
2020-07-06,11622190
2020-07-07,11833034
2020-07-08,12044836
2020-07-09,12273063
2020-07-10,12505640
2020-07-11,12721968
2020-07-12,12914636
2020-07-13,13107415
2020-07-14,13328867
2020-07-15,13559984
2020-07-16,13812525
2020-07-17,14054563
2020-07-18,14292198
2020-07-19,14506845
2020-07-20,14713623
2020-07-21,14947078
2020-07-22,15227725
2020-07-23,15510481
2020-07-24,15791645
2020-07-25,16047190
2020-07-26,16251796
2020-07-27,16480485
