Date,Deaths
2020-01-22,17
2020-01-23,18
2020-01-24,26
2020-01-25,42
2020-01-26,56
2020-01-27,82
2020-01-28,131
2020-01-29,133
2020-01-30,171
2020-01-31,213
2020-02-01,259
2020-02-02,362
2020-02-03,426
2020-02-04,492
2020-02-05,564
2020-02-06,634
2020-02-07,719
2020-02-08,806
2020-02-09,906
2020-02-10,1013
2020-02-11,1113
2020-02-12,1118
2020-02-13,1371
2020-02-14,1523
2020-02-15,1666
2020-02-16,1770
2020-02-17,1868
2020-02-18,2008
2020-02-19,2123
2020-02-20,2246
2020-02-21,2250
2020-02-22,2457
2020-02-23,2467
2020-02-24,2627
2020-02-25,2707
2020-02-26,2767
2020-02-27,2810
2020-02-28,2867
2020-02-29,2936
2020-03-01,2990
2020-03-02,3079
2020-03-03,3154
2020-03-04,3249
2020-03-05,3342
2020-03-06,3454
2020-03-07,3553
2020-03-08,3797
2020-03-09,3981
2020-03-10,4260
2020-03-11,4604
2020-03-12,4909
2020-03-13,5406
2020-03-14,5823
2020-03-15,6464
2020-03-16,7144
2020-03-17,7948
2020-03-18,8845
2020-03-19,9951
2020-03-20,11429
2020-03-21,13134
2020-03-22,14831
2020-03-23,16748
2020-03-24,19016
2020-03-25,21793
2020-03-26,24800
2020-03-27,28318
2020-03-28,31997
2020-03-29,35470
2020-03-30,39634
2020-03-31,44478
2020-04-01,50029
2020-04-02,56334
2020-04-03,62319
2020-04-04,68160
2020-04-05,73181
2020-04-06,79013
2020-04-07,86915
2020-04-08,93650
2020-04-09,101279
2020-04-10,108551
2020-04-11,114620
2020-04-12,120351
2020-04-13,126098
2020-04-14,132996
2020-04-15,141308
2020-04-16,148591
2020-04-17,157481
2020-04-18,163952
2020-04-19,168522
2020-04-20,173965
2020-04-21,181122
2020-04-22,187877
2020-04-23,194727
2020-04-24,201401
2020-04-25,206979
2020-04-26,210862
2020-04-27,215511
2020-04-28,221974
2020-04-29,228742
2020-04-30,234704
2020-05-01,239881
2020-05-02,245206
2020-05-03,248659
2020-05-04,252787
2020-05-05,258658
2020-05-06,265327
2020-05-07,270736
2020-05-08,276304
2020-05-09,280569
2020-05-10,284135
2020-05-11,287608
2020-05-12,293155
2020-05-13,298383
2020-05-14,303651
2020-05-15,308866
2020-05-16,313037
2020-05-17,316366
2020-05-18,319657
2020-05-19,324441
2020-05-20,329326
2020-05-21,334112
2020-05-22,339396
2020-05-23,343385
2020-05-24,346525
2020-05-25,347703
2020-05-26,351906
2020-05-27,357119
2020-05-28,361820
2020-05-29,366562
2020-05-30,370718
2020-05-31,373606
2020-06-01,376674
2020-06-02,381497
2020-06-03,387069
2020-06-04,392218
2020-06-05,396994
2020-06-06,400875
2020-06-07,403617
2020-06-08,407314
2020-06-09,412236
2020-06-10,417441
2020-06-11,422215
2020-06-12,426512
2020-06-13,430750
2020-06-14,434124
2020-06-15,437549
2020-06-16,444416
2020-06-17,449671
2020-06-18,454700
2020-06-19,460973
2020-06-20,465222
2020-06-21,469185
2020-06-22,472756
2020-06-23,478067
2020-06-24,483328
2020-06-25,489955
2020-06-26,494782
2020-06-27,499268
2020-06-28,502357
2020-06-29,506078
2020-06-30,511210
2020-07-01,516221
2020-07-02,521341
2020-07-03,526336
2020-07-04,530705
2020-07-05,534150
2020-07-06,537947
2020-07-07,544054
2020-07-08,549373
2020-07-09,554831
2020-07-10,560142
2020-07-11,565039
2020-07-12,568993
2020-07-13,572808
2020-07-14,578468
2020-07-15,583961
2020-07-16,589760
2020-07-17,596503
2020-07-18,602130
2020-07-19,606159
2020-07-20,610319
2020-07-21,616557
2020-07-22,623540
2020-07-23,633506
2020-07-24,639650
2020-07-25,644517
2020-07-26,648621
2020-07-27,654036
